MMSI,MID,Received_Time,Vessel_Name,Latitude,Longitude,Course_Over_Ground_COG,Speed_Over_Ground_SOG,IMO_Number,Longitude_Second,Latitude_Second,_True_Heading_HDG,_Beam ,Destination,Destination,Ship_Type
416004261,Taiwan (Province of China),20/02/2025 16:00:24,YU CHIN NO.302,22.5855,120.3031,0,0,0,120? 18.185' E,22? 35.132' N,64,9,29,@@@@@@@@@@@@@@@@@@@@,Vessel-Towing
416005047,Taiwan (Province of China),20/02/2025 16:00:25,TIPM NO.13401,22.5338,120.303,283.9,0,0,120? 18.180' E,22? 32.027' N,511,10,35,@@@@@@@@@@@@@@@@@@@@,Tug
416459000,Taiwan (Province of China),20/02/2025 16:00:25,UNI PROSPER,22.5401,120.3067,259,4.7,,120? 18.404' E,22? 32.407' N,286,,,,
416006146,Taiwan (Province of China),20/02/2025 16:00:25,HUNG YI NO.2,22.546,120.3057,48.1,0,0,120? 18.342' E,22? 32.760' N,511,12,32,@@@@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
306045000,Netherlands Antilles,20/02/2025 16:00:25,GUANYANG,22.611,120.2739,168.3,0,9110250,120? 16.437' E,22? 36.660' N,0,9,53,KHH                 ,Cargo-all ships of this type
416004115,Taiwan (Province of China),20/02/2025 16:00:25,DAH LIN NO.9,22.5389,120.3359,360,0,0,120? 20.155' E,22? 32.335' N,511,12,36,KAOHSIUNG PORT@@@@@@,Vessel-Towing
457556000,Mongolia,20/02/2025 16:00:25,EVER  DELIGHT,91,181,360,102.3,8358661,Not available (default),Not available (default),511,16,96,KAOHSIUNG           ,Cargo-all ships of this type
416000017,Taiwan (Province of China),20/02/2025 16:00:25,YU TAI NO.403,22.5965,120.2877,169.5,8.3,0,120? 17.262' E,22? 35.792' N,511,11,30,@@@@@@@@@@@@@@@@@@@@,Tug
510069000,Micronesia (Federated States of),20/02/2025 16:00:25,QUEEN ISABELLA 88,22.6135,120.2719,308.9,0,0,120? 16.315' E,22? 36.807' N,303,30,15,@@@@@@@@@@@@@@@@@@@@,Vessel=Fishing
677011100,Tanzania (United Republic of),20/02/2025 16:00:25,HAI FA,22.582,120.2955,268.5,0,9072991,120? 17.727' E,22? 34.922' N,511,12,74,KAOXIONG            ,Cargo-all ships of this type
416005437,Taiwan (Province of China),20/02/2025 16:00:25,SOLARIS 2,22.582,120.2939,360,0,0,120? 17.633' E,22? 34.922' N,511,8,20,HYDRO SURVEY@@@@@@@@,Vessel-Engaged in dredging or underwater operations
457601000,Mongolia,20/02/2025 16:00:26,MACRO,22.5999,120.2816,205.4,0,0,120? 16.895' E,22? 35.993' N,511,2,2,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
538010853,Marshall Islands (Republic of the),20/02/2025 16:00:26,FAIRCHEM PATHFINDER,22.589,120.2928,148,4.3,9975301,120? 17.567' E,22? 35.343' N,150,27,158,TW KHH              ,Tanker-all ships of this type
416004047,Taiwan (Province of China),20/02/2025 16:00:26,TA YING,22.5991,120.2884,104.2,0,0,120? 17.302' E,22? 35.948' N,511,0,0,KAOHSIUNG@@@@@@@@@@@,Cargo-all ships of this type
416004524,Taiwan (Province of China),20/02/2025 16:00:26,YU JING 245,22.6176,120.2794,360,0,0,120? 16.761' E,22? 37.054' N,511,9,54,@@@@@@@@@@@@@@@@@@@@,Tug
416015927,Taiwan (Province of China),20/02/2025 16:00:26,KAO 506,22.6138,120.2881,183.4,0.1,0,120? 17.286' E,22? 36.827' N,511,15,40,KHH@@@@@@@@@@@@@@@@@,Vessel-Engaged in dredging or underwater operations
667001736,Sierra Leone,20/02/2025 16:00:27,HUA HANG,22.6138,120.287,0,0,8864282,120? 17.221' E,22? 36.830' N,511,12,71,@@@@@@@@@@@@@@@@@@@@,Cargo-all ships of this type
416005437,Taiwan (Province of China),20/02/2025 16:00:27,SOLARIS 2,22.582,120.2939,360,0,0,120? 17.633' E,22? 34.922' N,511,8,20,HYDRO SURVEY@@@@@@@@,Vessel-Engaged in dredging or underwater operations
